ArticleNumber,AvailableQty,expectedDeliveryDateFormatted,inventoryCount,inventoryCountFormatted,quantityFormatted
89133537,0.00,,210,210,1
89133538,0.00,,378,378,1
89136060,8.00,13-03-2020,459,459,1
89136061,8.00,13-03-2020,574,574,1
89136073,200.00,15-08-2019,95,95,1
89136206,118.00,15-08-2019,172,172,1
90256641,230.00,15-11-2019,75,75,1
12400914,11.00,13-03-2020,0,0,1
12403947,16.00,13-03-2020,4,4,1
48400009,400.00,28-10-2019,647,647,1
48700089,4.00,13-03-2020,128,128,1
48700092,0.00,,10,10,1
87305779,0.00,,126,126,1
16103581,0.00,,81,81,1
128000,0.00,,29,29,1
129000,0.00,,66,66,1
22204778,0.00,,140,140,1
22204779,0.00,,0,0,1
22206455,0.00,,104,104,1
22207064,0.00,,38,38,1
22207065,0.00,,7,7,1
22207069,0.00,,4,4,1
48408587,0.00,,171,171,1
87200001,0.00,,41,41,1
87201380,0.00,,49,49,1
87204601,0.00,,27,27,1
87206010,0.00,,86,86,1
87304605,200.00,01-12-2019,229,229,1
87304608,120.00,15-10-2019,97,97,1
87304767,56.00,15-10-2019,9,9,1
87304768,0.00,,12,12,1
87304769,0.00,,133,133,1
87304770,0.00,,217,217,1
87304910,0.00,,66,66,1
87306443,0.00,,344,344,1
87306444,0.00,,33,33,1
87306445,0.00,,22,22,1
87306446,0.00,,100,100,1
87307481,0.00,,70,70,1
87308599,0.00,,315,315,1
89204783,0.00,,2,2,1
904014,0.00,,142,142,1
82041468,0.00,,52,52,1
82043207,0.00,,95,95,1
82043224,0.00,,83,83,1
82043245,199.00,30-11-2019,2,2,1
82043354,100.00,30-11-2019,55,55,1
82043355,2.00,13-03-2020,109,109,1
82043429,36.00,13-03-2020,27,27,1
82044163,12.00,13-03-2020,43,43,1
82041380,2.00,13-03-2020,123,123,1
82041381,0.00,,155,155,1
82041382,0.00,,99,99,1
82041383,0.00,,118,118,1
97304962,0.00,,580,580,1
97304968,4.00,13-03-2020,187,187,1
82041385,0.00,,6,6,1
82041386,0.00,,142,142,1
48601808,804.00,01-02-2020,765,765,1
90170149,0.00,,43,43,1
90172839,0.00,,65,65,1
97304514,0.00,,316,316,1
97304516,2.00,13-03-2020,272,272,1
97306090,0.00,,440,440,1
97308182,2.00,13-03-2020,585,585,1
17902746,0.00,,170,170,1
17902752,0.00,,313,313,1
17906482,0.00,,345,345,1
17906483,0.00,,326,326,1
21109498,0.00,,68,68,1
32149964,0.00,,225,225,1
48409397,0.00,,0,0,1
63106934,0.00,,32,32,1
90179070,0.00,,84,84,1
97307724,2.00,13-03-2020,72,72,1
82044559,8.00,13-03-2020,394,394,1
82044561,116.00,11-11-2019,63,63,1
82045177,0.00,,241,241,1
82045480,110.00,11-11-2019,65,65,1
82045571,258.00,22-07-2019,0,0,1
82045903,138.00,30-09-2019,0,0,1
82040319,0.00,,232,232,1
82040983,0.00,,141,141,1
82042110,0.00,,66,66,1
82040320,0.00,,280,280,1
82042111,0.00,,36,36,1
82043500,20.00,13-03-2020,126,126,1
82043501,0.00,,135,135,1
82043502,12.00,13-03-2020,274,274,1
82043506,2.00,13-03-2020,216,216,1
82043507,0.00,,229,229,1
50224040,0.00,,286,286,1
82044143,0.00,,523,523,1
50224050,0.00,,284,284,1
82040701,125.00,27-09-2019,173,173,1
89116596,0.00,,476,476,1
16100915,0.00,,116,116,1
16100925,0.00,,116,116,1
50200762,0.00,,106,106,1
50200764,0.00,,23,23,1
50209908,0.00,,158,158,1
50228436,800.00,07-08-2019,237,237,1
50229916,8.00,13-03-2020,243,243,1
89119931,0.00,,2,2,1
89119932,0.00,,202,202,1
50201161,0.00,,17,17,1
